section,group,name,url,description,tags,stars,last_push,line
Courses,,Yann Lecun,http://yann.lecun.com/,"This increasingly popular course is taught through the Data Science Center at NYU. Originally introduced by , it is now led by Zaid Harchaoui, although Prof. Lecun is rumored to still stop by from time to time. It covers the theory, technique, and tricks that are used to achieve very high accuracy for machine learning tasks in computer vision and natural language processing. The assignments are in Lua and hosted on Kaggle.",,,,680
Courses,,Recorded Lectures,http://techtalks.tv/deep-learning-nyu-spring-2015/,,,,,682
Courses,,EECS E6893 & EECS E6895,https://www.ee.columbia.edu/~cylin/course/bigdata/,Big Data Analytics & Advanced Big Data Analytics Columbia University.,,,,683
Courses,,Dr. Ching-Yung Lin,http://researcher.watson.ibm.com/researcher/view.php?person=us-chingyung,Taught by .,,,,685
Courses,,EECS E6894,https://llcao.net/cu-deeplearning15/index.html,Deep Learning for Computer Vision and Natural Language Processing Columbia University.,,,,688
Courses,,Readings,http://llcao.net/cu-deeplearning15/reading.html,,,,,690
Courses,,Assignments,https://llcao.net/cu-deeplearning15/programming_problem.html,,,,,691
Courses,,EE103,https://stanford.edu/class/ee103/,Introduction to Matrix Methods Stanford University.,,,,693
Courses,,Stephen Boyd,https://stanford.edu/~boyd/,"The course covers the basics of matrices and vectors, solving linear equations, least-squares methods, and many applications. It'll cover the mathematics, but the focus will be on using matrix methods in applications such as tomography, image processing, data fitting, time series prediction, finance, and many others. EE103 is based on a book that  and Lieven Vandenberghe are currently writing. Students will use a new language called Julia to do computations with matrices and vectors.",,,,694
Courses,,Lectures,https://stanford.edu/class/ee103/lectures.html,,,,,695
Courses,,Book,https://stanford.edu/class/ee103/mma.html,,,,,696
Courses,,Assignments,https://stanford.edu/class/ee103/homework.html,,,,,697
Courses,,Code,https://stanford.edu/class/ee103/julia_files,,,,,698
Courses,,Fast.ai Introduction to Machine Learning for Coders,http://course.fast.ai/ml.html,Fast.ai / University of San Francisco.,,,,699
Courses,,Lecture Videos,http://course.fast.ai/lessonsml1/lessonsml1.html,,,,,701
Courses,,Lecture Notes,https://medium.com/@hiromi_suenaga/machine-learning-1-lesson-1-84a1dc2b5236,,,,,702
Courses,,Jupyter Notebooks,https://github.com/fastai/fastai/tree/master/courses/ml1,"★ 28,192 stars, last push 2026-09-21.",,,,703
Courses,,Info 290,https://www.ischool.berkeley.edu/courses/i290-abdt,Analyzing Big Data with Twitter UC Berkeley school of information.,,,,704
Courses,,Lecture Videos,http://www.ischool.berkeley.edu/newsandevents/audiovideo/webcast/21963,,,,,706
Courses,,Previous Years coursepage,https://blogs.ischool.berkeley.edu/i290-abdt-s12/,,,,,707
Courses,,Machine Learning: 2014-2015,https://www.cs.ox.ac.uk/people/nando.defreitas/machinelearning/,University of Oxford.,,,,708
Courses,,Torch,https://github.com/torch/torch7/wiki/Cheatsheet,"The course focusses on neural networks and uses the  deep learning library (implemented in Lua) for exercises and assignments. Topics include: logistic regression, back-propagation, convolutional neural networks, max-margin learning, siamese networks, recurrent neural networks, LSTMs, hand-writing with recurrent neural networks, variational autoencoders and image generation and reinforcement learning.",,,,709
Courses,,Source code,https://github.com/oxford-cs-ml-2015/,,,,,711
Courses,,StatLearning,https://lagunita.stanford.edu/courses/HumanitiesandScience/StatLearning/Winter2015/about,Intro to Statistical Learning Stanford University.,,,,712
Courses,,"An Introduction to Statistical Learning, with Applications in R",http://www-bcf.usc.edu/~gareth/ISL/,The lectures cover all the material in  which is a more approachable version of the Elements of Statistical Learning (or ESL) book.,,,,714
Courses,,10-601,https://www.cs.cmu.edu/~ninamf/courses/601sp15/,Machine Learning Carnegie Mellon University.,,,,715
Courses,,Lectures,https://www.cs.cmu.edu/~tom/10701_sp11/lectures.shtml,,,,,718
Courses,,Project Ideas and Datasets,https://www.cs.cmu.edu/~tom/10701_sp11/proj.shtml,,,,,719
Courses,,10-708,https://www.cs.cmu.edu/~epxing/Class/10708-14/index.html,Probabilistic Graphical Models Carnegie Mellon University.,,,,720
Courses,,Lecture Videos,https://www.cs.cmu.edu/~epxing/Class/10708-14/lecture.html,,,,,722
Courses,,Assignments,https://www.cs.cmu.edu/~epxing/Class/10708-14/homework.html,,,,,723
Courses,,11-785,https://deeplearning.cs.cmu.edu/,Deep Learning Carnegie Mellon University.,,,,726
